Date : 2022-06-27 17:08:47
Directory : d:\工作\软工实验\sep\SE-Project-Front\src\pages
Total : 283 files,  25721 codes, 1290 comments, 1685 blanks, all 28696 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\KoniContextMenu.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\MenuItem.jsx          | JavaScript React |         17 |          0 |          4 |         21 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\MindContextMenu.jsx   | JavaScript React |         19 |          0 |          3 |         22 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorContextMenu\index.less            | Less             |         35 |          0 |          7 |         42 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\DetailForm.jsx        | JavaScript React |        113 |          0 |         11 |        124 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\FlowDetailPanel.jsx   | JavaScript React |         24 |          0 |          3 |         27 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\KoniDetailPanel.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\MindDetailPanel.jsx   | JavaScript React |         15 |          0 |          3 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorDetailPanel\index.less            | Less             |          5 |          0 |          2 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorItemPanel\FlowItemPanel.jsx       | JavaScript React |         50 |          0 |          3 |         53 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorItemPanel\KoniItemPanel.jsx       | JavaScript React |         46 |          0 |          3 |         49 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorItemPanel\index.jsx               | JavaScript React |          3 |          0 |          1 |          4 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorItemPanel\index.less              | Less             |         17 |          0 |          3 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorMinimap\index.jsx                 | JavaScript React |          8 |          0 |          3 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\FlowToolbar.jsx           | JavaScript React |         27 |          0 |          3 |         30 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\KoniToolbar.jsx           | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\MindToolbar.jsx           | JavaScript React |         22 |          0 |          3 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\ToolbarButton.jsx         | JavaScript React |         21 |          0 |          4 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\index.jsx                 | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\components\EditorToolbar\index.less                | Less             |         34 |          0 |          7 |         41 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\index.jsx                                          | JavaScript React |         34 |          0 |          1 |         35 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\flow\index.less                                         | Less             |         41 |          0 |          8 |         49 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\common\IconFont\index.js                           | JavaScript       |          5 |          0 |          1 |          6 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\FlowContextMenu.jsx   | JavaScript React |         31 |          0 |          3 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\KoniContextMenu.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\MenuItem.jsx          | JavaScript React |         17 |          0 |          4 |         21 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\MindContextMenu.jsx   | JavaScript React |         19 |          0 |          3 |         22 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorContextMenu\index.less            | Less             |         35 |          0 |          6 |         41 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\DetailForm.jsx        | JavaScript React |        113 |          0 |         11 |        124 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\FlowDetailPanel.jsx   | JavaScript React |         24 |          0 |          3 |         27 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\KoniDetailPanel.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\MindDetailPanel.jsx   | JavaScript React |         15 |          0 |          3 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorDetailPanel\index.less            | Less             |          5 |          0 |          2 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorItemPanel\FlowItemPanel.jsx       | JavaScript React |         50 |          0 |          3 |         53 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorItemPanel\KoniItemPanel.jsx       | JavaScript React |         46 |          0 |          3 |         49 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorItemPanel\index.jsx               | JavaScript React |          3 |          0 |          1 |          4 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorItemPanel\index.less              | Less             |         17 |          0 |          3 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorMinimap\index.jsx                 | JavaScript React |          8 |          0 |          3 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\FlowToolbar.jsx           | JavaScript React |         27 |          0 |          3 |         30 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\KoniToolbar.jsx           | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\MindToolbar.jsx           | JavaScript React |         22 |          0 |          3 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\ToolbarButton.jsx         | JavaScript React |         21 |          0 |          4 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\index.jsx                 | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\components\EditorToolbar\index.less                | Less             |         34 |          0 |          6 |         40 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\index.jsx                                          | JavaScript React |         34 |          0 |          1 |         35 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\koni\index.less                                         | Less             |         48 |          0 |          9 |         57 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\common\IconFont\index.js                           | JavaScript       |          5 |          0 |          1 |          6 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\FlowContextMenu.jsx   | JavaScript React |         31 |          0 |          3 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\KoniContextMenu.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\MenuItem.jsx          | JavaScript React |         17 |          0 |          4 |         21 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\MindContextMenu.jsx   | JavaScript React |         19 |          0 |          3 |         22 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorContextMenu\index.less            | Less             |         35 |          0 |          6 |         41 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\DetailForm.jsx        | JavaScript React |        113 |          0 |         11 |        124 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\FlowDetailPanel.jsx   | JavaScript React |         24 |          0 |          3 |         27 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\KoniDetailPanel.jsx   | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\MindDetailPanel.jsx   | JavaScript React |         15 |          0 |          3 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\index.jsx             | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorDetailPanel\index.less            | Less             |          5 |          0 |          2 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorItemPanel\FlowItemPanel.jsx       | JavaScript React |         50 |          0 |          3 |         53 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorItemPanel\KoniItemPanel.jsx       | JavaScript React |         46 |          0 |          3 |         49 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorItemPanel\index.jsx               | JavaScript React |          3 |          0 |          1 |          4 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorItemPanel\index.less              | Less             |         17 |          0 |          3 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorMinimap\index.jsx                 | JavaScript React |          8 |          0 |          3 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\FlowToolbar.jsx           | JavaScript React |         27 |          0 |          3 |         30 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\KoniToolbar.jsx           | JavaScript React |          2 |          0 |          1 |          3 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\MindToolbar.jsx           | JavaScript React |         22 |          0 |          3 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\ToolbarButton.jsx         | JavaScript React |         21 |          0 |          4 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\index.jsx                 | JavaScript React |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\components\EditorToolbar\index.less                | Less             |         34 |          0 |          7 |         41 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\index.jsx                                          | JavaScript React |         31 |          0 |          1 |         32 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\index.less                                         | Less             |         48 |          0 |          9 |         57 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\editor\mind\worldCup2018.json                                  | JSON             |        129 |          0 |          1 |        130 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\exception\403\index.jsx                                        | JavaScript React |         17 |          0 |          1 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\exception\404\index.jsx                                        | JavaScript React |         17 |          0 |          1 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\exception\500\index.jsx                                        | JavaScript React |         17 |          0 |          1 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\advanced-form\_mock.js                                    | JavaScript       |          9 |          1 |          1 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\advanced-form\components\TableForm.jsx                    | JavaScript React |        222 |          1 |         29 |        252 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\advanced-form\index.jsx                                   | JavaScript React |        519 |          1 |         14 |        534 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\advanced-form\service.js                                  | JavaScript       |          7 |          0 |          1 |          8 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\advanced-form\style.less                                  | Less             |         58 |          0 |          8 |         66 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\basic-form\_mock.js                                       | JavaScript       |          9 |          1 |          1 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\basic-form\index.jsx                                      | JavaScript React |        184 |          0 |         10 |        194 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\basic-form\service.js                                     | JavaScript       |          7 |          0 |          1 |          8 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\basic-form\style.less                                     | Less             |          5 |          0 |          2 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\step-form\_mock.js                                        | JavaScript       |          9 |          1 |          1 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\step-form\index.jsx                                       | JavaScript React |        221 |          0 |          8 |        229 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\step-form\service.js                                      | JavaScript       |          7 |          0 |          1 |          8 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\form\step-form\style.less                                      | Less             |          9 |          0 |          3 |         12 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\index.js                                                       | JavaScript       |         28 |          0 |          2 |         30 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\_mock.js                                       | JavaScript       |        140 |          2 |         15 |        157 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\components\OperationModal.jsx                  | JavaScript React |        117 |          0 |          5 |        122 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\index.jsx                                      | JavaScript React |        232 |          0 |         15 |        247 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\service.js                                     | JavaScript       |         24 |          0 |          1 |         25 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\style.less                                     | Less             |        186 |          0 |         10 |        196 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\basic-list\utils\utils.less                               | Less             |         46 |          2 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\card-list\_mock.js                                        | JavaScript       |        104 |          1 |          6 |        111 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\card-list\index.jsx                                       | JavaScript React |        102 |          0 |          4 |        106 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\card-list\service.js                                      | JavaScript       |          6 |          0 |          1 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\card-list\style.less                                      | Less             |         97 |          0 |         11 |        108 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\card-list\utils\utils.less                                | Less             |         46 |          2 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\_mock.js                              | JavaScript       |        104 |          1 |          6 |        111 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\components\StandardFormRow\index.jsx  | JavaScript React |         21 |          0 |          3 |         24 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\components\StandardFormRow\index.less | Less             |         82 |          0 |          6 |         88 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\components\TagSelect\index.jsx        | JavaScript React |         98 |          0 |         15 |        113 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\components\TagSelect\index.less       | Less             |         32 |          0 |          3 |         35 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\index.jsx                             | JavaScript React |        204 |          0 |          5 |        209 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\service.js                            | JavaScript       |          6 |          0 |          1 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\style.less                            | Less             |         47 |          1 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\applications\utils\utils.less                      | Less             |         46 |          2 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\_mock.js                                  | JavaScript       |        104 |          1 |          6 |        111 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\ArticleListContent\index.jsx   | JavaScript React |         15 |          0 |          3 |         18 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\ArticleListContent\index.less  | Less             |         36 |          0 |          3 |         39 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\StandardFormRow\index.jsx      | JavaScript React |         21 |          0 |          3 |         24 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\StandardFormRow\index.less     | Less             |         84 |          0 |          5 |         89 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\TagSelect\index.jsx            | JavaScript React |         98 |          0 |         15 |        113 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\components\TagSelect\index.less           | Less             |         32 |          0 |          2 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\index.jsx                                 | JavaScript React |        264 |          0 |         10 |        274 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\service.js                                | JavaScript       |          6 |          0 |          1 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\articles\style.less                                | Less             |         29 |          0 |          3 |         32 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\index.jsx                                          | JavaScript React |         76 |          1 |         12 |         89 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\_mock.js                                  | JavaScript       |        104 |          0 |          6 |        110 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\AvatarList\index.jsx           | JavaScript React |         55 |          0 |          7 |         62 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\AvatarList\index.less          | Less             |         44 |          0 |          7 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\StandardFormRow\index.jsx      | JavaScript React |         21 |          0 |          3 |         24 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\StandardFormRow\index.less     | Less             |         84 |          0 |          5 |         89 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\TagSelect\index.jsx            | JavaScript React |         98 |          0 |         15 |        113 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\components\TagSelect\index.less           | Less             |         32 |          0 |          2 |         34 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\index.jsx                                 | JavaScript React |        150 |          2 |          4 |        156 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\service.js                                | JavaScript       |          6 |          0 |          1 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\style.less                                | Less             |         51 |          0 |          5 |         56 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\search\projects\utils\utils.less                          | Less             |         46 |          2 |          3 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\table-list\_mock.js                                       | JavaScript       |        153 |          3 |         31 |        187 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\table-list\components\CreateForm.jsx                      | JavaScript React |         17 |          0 |          3 |         20 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\table-list\components\UpdateForm.jsx                      | JavaScript React |        141 |          0 |          3 |        144 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\table-list\index.jsx                                      | JavaScript React |        278 |         18 |         19 |        315 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\list\table-list\service.js                                     | JavaScript       |         29 |          6 |          6 |         41 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\advanced\_mock.js                                      | JavaScript       |         75 |          0 |          3 |         78 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\advanced\index.jsx                                     | JavaScript React |        423 |          0 |         11 |        434 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\advanced\service.js                                    | JavaScript       |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\advanced\style.less                                    | Less             |         54 |          0 |          7 |         61 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\basic\_mock.js                                         | JavaScript       |         87 |          0 |          3 |         90 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\basic\index.jsx                                        | JavaScript React |        225 |          0 |         12 |        237 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\basic\service.js                                       | JavaScript       |          4 |          0 |          1 |          5 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\profile\basic\style.less                                       | Less             |          7 |          0 |          2 |          9 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\result\fail\index.jsx                                          | JavaScript React |         72 |          0 |          1 |         73 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\result\fail\index.less                                         | Less             |         10 |          0 |          2 |         12 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\result\success\index.jsx                                       | JavaScript React |        131 |          0 |          1 |        132 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\result\success\index.less                                      | Less             |         13 |          0 |          3 |         16 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS006.js                                          | JavaScript       |        404 |          9 |         17 |        430 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\components\dateTranslate.js                       | JavaScript       |          0 |          0 |          1 |          1 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\Login\index.jsx                                           | JavaScript React |        270 |          2 |         17 |        289 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\Login\index.less                                          | Less             |         43 |          0 |          8 |         51 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register-result\index.jsx                                 | JavaScript React |         33 |          0 |          3 |         36 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register-result\style.less                                | Less             |         23 |          0 |          1 |         24 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\_mock.js                                         | JavaScript       |         10 |          1 |          0 |         11 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\index.jsx                                        | JavaScript React |        281 |          0 |         25 |        306 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\service.js                                       | JavaScript       |          7 |          0 |          0 |          7 |
| d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\style.less                                       | Less             |         49 |          0 |         12 |         61 |
| Total                                                                                                    |                  |     25,721 |      1,290 |      1,685 |     28,696 |
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
